epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.67734,2.67299,10.6248,0.00258,5e-05,0.00501,0,0,2.48162,8.15242,0.00294,0.000468772,0.000468772,0.000468772
2,19.0171,2.51286,6.91578,0.00205,0.86978,0.06833,0.19191,0.07978,2.47906,5.61592,0.00286,0.000935749,0.000935749,0.000935749
3,27.5758,2.56264,5.35581,0.00203,0.69604,0.26799,0.29793,0.11932,2.32389,4.08037,0.0026,0.00139329,0.00139329,0.00139329
4,36.0471,2.40612,4.10055,0.00192,0.72761,0.30263,0.33644,0.14696,2.26033,3.09964,0.00263,0.00138656,0.00138656,0.00138656
5,44.6181,2.44672,3.37149,0.00185,0.71668,0.35451,0.35186,0.14381,2.35754,2.55096,0.00265,0.00137241,0.00137241,0.00137241
6,53.139,2.38674,2.69721,0.00185,0.7868,0.35752,0.39678,0.16967,2.21373,2.05798,0.00237,0.00135826,0.00135826,0.00135826
7,61.7924,2.33285,2.37295,0.00176,0.41943,0.31856,0.37191,0.173,2.26218,2.00784,0.0025,0.00134412,0.00134412,0.00134412
8,70.3109,2.33402,2.18519,0.00184,0.80389,0.337,0.38371,0.17851,2.19882,1.79317,0.0024,0.00132997,0.00132997,0.00132997
9,78.813,2.26405,1.87415,0.00171,0.79802,0.37106,0.42579,0.18765,2.18767,1.6236,0.00242,0.00131582,0.00131582,0.00131582
10,87.4674,2.27905,1.79837,0.00173,0.7748,0.31554,0.36633,0.14422,2.43634,1.63257,0.00248,0.00130168,0.00130168,0.00130168
11,96.0266,2.32626,1.69527,0.00168,0.86123,0.3731,0.43744,0.20698,2.17423,1.45809,0.0023,0.00128753,0.00128753,0.00128753
12,104.716,2.20864,1.54399,0.00165,0.82451,0.40919,0.44007,0.2067,2.14076,1.3671,0.00227,0.00127338,0.00127338,0.00127338
13,116.812,2.20025,1.47805,0.0016,0.88483,0.41207,0.48043,0.22081,2.12308,1.29549,0.00222,0.00125923,0.00125923,0.00125923
14,127.909,2.12192,1.42075,0.00155,0.87241,0.42193,0.5033,0.22843,2.11296,1.2235,0.00222,0.00124509,0.00124509,0.00124509
15,136.446,2.1456,1.42852,0.00155,0.65374,0.48459,0.49426,0.21525,2.22659,1.27176,0.00234,0.00123094,0.00123094,0.00123094
16,145.037,2.21176,1.4213,0.00161,0.71995,0.47982,0.48791,0.21662,2.18575,1.33576,0.00229,0.00121679,0.00121679,0.00121679
17,153.975,2.24267,1.42836,0.00162,0.90042,0.44123,0.52516,0.2424,2.04536,1.16359,0.00221,0.00120265,0.00120265,0.00120265
18,166.233,2.18301,1.34907,0.00163,0.87914,0.42231,0.5065,0.24391,2.09603,1.15697,0.00228,0.0011885,0.0011885,0.0011885
19,177.113,2.20638,1.36403,0.00156,0.75927,0.48794,0.51387,0.22835,2.16177,1.14371,0.00237,0.00117435,0.00117435,0.00117435
20,185.584,2.09033,1.22542,0.00154,0.74034,0.52105,0.54031,0.25871,2.07808,1.07514,0.00225,0.00116021,0.00116021,0.00116021
21,197.939,2.15546,1.30215,0.00155,0.59921,0.45125,0.47749,0.21206,2.17165,1.19052,0.00229,0.00114606,0.00114606,0.00114606
22,209.799,2.14045,1.23582,0.00156,0.86149,0.51179,0.5632,0.26291,2.01311,1.05868,0.00208,0.00113191,0.00113191,0.00113191
23,222.138,2.04874,1.21792,0.00154,0.79404,0.48194,0.52608,0.25086,2.02647,1.11947,0.00219,0.00111776,0.00111776,0.00111776
24,234.457,2.17043,1.26011,0.00159,0.78771,0.46241,0.52785,0.25867,2.04227,1.07036,0.00223,0.00110362,0.00110362,0.00110362
25,246.081,2.13106,1.2043,0.00154,0.77872,0.46641,0.52818,0.25354,2.07793,1.1028,0.00219,0.00108947,0.00108947,0.00108947
26,258.569,2.09002,1.1638,0.00146,0.78792,0.46291,0.53301,0.2645,2.00625,1.05412,0.0021,0.00107532,0.00107532,0.00107532
27,270.642,2.12204,1.17144,0.00157,0.87963,0.51003,0.56199,0.27047,2.03303,1.10701,0.00209,0.00106118,0.00106118,0.00106118
28,279.28,2.07018,1.18713,0.00144,0.76298,0.48759,0.55374,0.2621,2.01778,1.06454,0.00212,0.00104703,0.00104703,0.00104703
29,291.617,2.07384,1.1875,0.00142,0.77171,0.47568,0.55557,0.26428,2.03051,1.03779,0.00214,0.00103288,0.00103288,0.00103288
