epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9496,2.64684,10.4428,0.00251,0,0,0,0,2.56663,8.48768,0.00315,0.000468772,0.000468772,0.000468772
2,17.3769,2.63296,7.48693,0.00227,0.62117,0.07675,0.11366,0.04973,2.5194,6.06238,0.003,0.000935749,0.000935749,0.000935749
3,23.6252,2.62555,5.92063,0.00217,0.55736,0.19257,0.15758,0.07687,2.50794,4.50744,0.00309,0.00139329,0.00139329,0.00139329
4,29.7828,2.54652,4.5959,0.00218,0.59328,0.20412,0.18671,0.09471,2.32641,3.65609,0.00284,0.00138656,0.00138656,0.00138656
5,35.9199,2.54333,3.76161,0.00207,0.6855,0.23108,0.25045,0.11776,2.34139,2.97237,0.0028,0.00137241,0.00137241,0.00137241
6,41.9601,2.45765,3.02549,0.00195,0.67867,0.23352,0.24844,0.11393,2.37257,2.84387,0.00272,0.00135826,0.00135826,0.00135826
7,48.1334,2.42983,2.6961,0.0019,0.31744,0.2589,0.26028,0.12764,2.29133,2.3694,0.00267,0.00134412,0.00134412,0.00134412
8,54.2716,2.48139,2.54281,0.00208,0.67431,0.26731,0.26892,0.12582,2.26739,2.18601,0.00256,0.00132997,0.00132997,0.00132997
9,60.3735,2.42444,2.2692,0.00195,0.71672,0.26754,0.27496,0.12127,2.42003,2.13243,0.00282,0.00131582,0.00131582,0.00131582
10,66.5115,2.3768,2.13421,0.0019,0.70441,0.26259,0.27829,0.11416,2.40265,1.97427,0.00269,0.00130168,0.00130168,0.00130168
11,72.5828,2.39869,2.02492,0.00183,0.71678,0.28828,0.29428,0.14169,2.24653,1.86828,0.00251,0.00128753,0.00128753,0.00128753
12,78.6723,2.36202,1.89571,0.00188,0.3332,0.29496,0.29097,0.12935,2.391,2.00476,0.0027,0.00127338,0.00127338,0.00127338
13,84.7228,2.33216,1.91336,0.00182,0.39094,0.29201,0.31185,0.15149,2.2776,1.75558,0.00257,0.00125923,0.00125923,0.00125923
14,90.9051,2.30393,1.83937,0.0018,0.76115,0.2968,0.31172,0.14739,2.28093,1.70407,0.00248,0.00124509,0.00124509,0.00124509
15,97.0365,2.31347,1.82738,0.00179,0.3983,0.31291,0.31339,0.15181,2.22364,1.89816,0.00248,0.00123094,0.00123094,0.00123094
16,103.162,2.30633,1.72232,0.00182,0.41579,0.31328,0.32426,0.15342,2.28568,1.68052,0.00253,0.00121679,0.00121679,0.00121679
17,109.204,2.43395,1.80714,0.00189,0.81278,0.29687,0.33015,0.15504,2.31196,1.67125,0.00254,0.00120265,0.00120265,0.00120265
18,115.232,2.35298,1.72612,0.00181,0.77417,0.31648,0.33936,0.15976,2.24048,1.69601,0.00252,0.0011885,0.0011885,0.0011885
19,121.334,2.34634,1.73331,0.00177,0.76291,0.30273,0.32655,0.15922,2.22485,1.59956,0.00251,0.00117435,0.00117435,0.00117435
20,127.506,2.21381,1.54137,0.0017,0.74011,0.31792,0.33912,0.15866,2.30263,1.5767,0.00259,0.00116021,0.00116021,0.00116021
21,133.567,2.28121,1.59613,0.00173,0.78207,0.32447,0.35572,0.16822,2.25955,1.5153,0.00254,0.00114606,0.00114606,0.00114606
22,139.617,2.32944,1.58864,0.00183,0.77482,0.34699,0.3671,0.17554,2.20131,1.50946,0.00238,0.00113191,0.00113191,0.00113191
23,145.683,2.21794,1.53366,0.00175,0.77376,0.3183,0.35314,0.16136,2.30015,1.57171,0.00252,0.00111776,0.00111776,0.00111776
